porosity,permeability_mD,grain_diameter_micrometer
13.969999999999999,41613.01,1509.824
7.449999999999999,157.232,251.56799999999998
9.92,1112.848,528.09
5.0,1.404,50.428
5.0,2197.193,1951.668
5.0,36.594,140.923
10.93,68.705,62.864
11.51,697.1,271.10200000000003
6.52,10.16,80.479
5.0,4.011,87.70100000000001
13.270000000000001,2379.154,515.14
8.98,214.013,213.041
7.64,4672.421,1499.1080000000002
5.0,19.933,162.285
5.0,236.254,728.373
19.759999999999998,3876.471,273.955
11.020000000000001,3261.073,570.495
22.09,23715.146,456.791
8.290000000000001,361.07,286.021
11.05,16746.768,1663.508
12.46,600.455,177.018
16.89,274.204,96.142
11.29,4786.635,609.982
8.469999999999999,5230.832,1133.2479999999998
18.21,105.527,58.004000000000005
11.469999999999999,668.401,262.608
