porosity,permeability_mD,grain_diameter_micrometer
16.73,1.0,109.278
13.97,16.794690983480432,1509.824
7.449999999999999,1.0,251.568
9.92,1.0,528.09
5.0,1.0,50.428
5.0,1.0551268648819943,1951.668
5.0,1.0,140.923
10.93,1.0,62.864
11.51,1.0,271.10200000000003
6.52,1.0,80.479
5.0,1.0,87.70100000000001
13.27,1.6487492794002532,515.14
8.98,1.0,213.041
7.64,2.3496764626996676,1499.1080000000002
5.0,1.0,162.285
5.0,1.0,728.373
19.76,1.7987360501530252,273.955
11.02,1.1002557866071638,570.495
22.09,7.410812266726037,456.791
8.290000000000001,1.0,286.021
11.05,9.437885679347694,1663.508
12.46,1.0,177.018
16.89,1.0,96.142
11.29,1.3608200583132153,609.982
8.469999999999999,1.8629586886869292,1133.2479999999998
18.21,1.0,58.004000000000005
11.47,1.0,262.608
